,unknown,method,accuracy,accuracy,precision,precision,recall,recall,macro_f1,macro_f1,roc_auc,roc_auc,pr_auc,pr_auc,attack_recall,attack_recall,false_positive_rate,false_positive_rate
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
0,botnet,Adam,0.809075,0.07448671287375247,0.8451704433144256,0.06182554465213656,0.809075,0.07448671287375247,0.7936249632379273,0.08850786607044236,0.9238899999999999,0.06014473683059104,0.9258606648472785,0.05876182660978142,0.9384,0.04074361428816986,0.32025000000000003,0.11866266871838178
1,botnet,MetaOpt,0.85595,0.08210694245920988,0.8770121582118003,0.06940081236823352,0.85595,0.08210694245920988,0.8454509471411147,0.0963497694116867,0.94309,0.04083782946961645,0.9499026105774171,0.03687031172973039,0.9323499999999999,0.03403291750179835,0.22044999999999998,0.1389859799820793
2,botnet,SGD,0.8420249999999999,0.08483226096244283,0.8672924998386977,0.07102350299169023,0.8420249999999999,0.08483226096244283,0.8299458020291699,0.0999988568724165,0.9416650000000001,0.044982140023042835,0.9496543398648564,0.04166276549713357,0.9327,0.0394316196925633,0.24864999999999998,0.13892454407831764
3,bruteforce,Adam,0.817375,0.07688437576544473,0.8447157217170085,0.0718559461486276,0.817375,0.07688437576544473,0.8030462295814715,0.09062082661265201,0.92221,0.06268937541141789,0.921087949020149,0.05750762726798467,0.93115,0.04726440187086396,0.2964,0.11229116288986364
4,bruteforce,MetaOpt,0.8459999999999999,0.07681882307707773,0.8674630409708971,0.06960245190190048,0.8459999999999999,0.07681882307707773,0.8354996908252119,0.08992672431319765,0.931025,0.05337312427370953,0.9299510763490465,0.04883282612601534,0.915,0.061694493484554934,0.223,0.11704475077597683
5,bruteforce,SGD,0.8459,0.07734366234710612,0.8658299316857464,0.07081578227675714,0.8459,0.07734366234710612,0.834631991899235,0.09138364637259122,0.938725,0.05177279182818142,0.939882876206181,0.04739796787152804,0.9328,0.04349906230084313,0.24100000000000002,0.11625606945106362
6,ddos,Adam,0.865375,0.05410269839559031,0.8854423500433176,0.048219344183386886,0.865375,0.05410269839559031,0.8611731422841317,0.05742598406557089,0.9220349999999999,0.062078933412907565,0.9440464733879381,0.04163354911726045,0.8119500000000001,0.06654438566218712,0.08120000000000001,0.05301201452699685
7,ddos,MetaOpt,0.8739250000000001,0.04440462132184939,0.894592194659271,0.0370822408898955,0.8739250000000001,0.04440462132184939,0.8698957459468957,0.04775265846439561,0.936625,0.048239172496612075,0.9527256612788657,0.032619391530227096,0.80275,0.05926113042245623,0.054900000000000004,0.03566200986159391
8,ddos,SGD,0.8869250000000001,0.05590505932288003,0.9039394961806341,0.04847492285397441,0.8869250000000001,0.05590505932288003,0.8835190971102163,0.05901724486264543,0.9439,0.05694504275823172,0.9586968516339182,0.03898860660058102,0.8461000000000001,0.0749167256990966,0.07225000000000001,0.04191956583744637
9,dos,Adam,0.8742000000000001,0.044848399607660745,0.8843678212815307,0.04142986400467829,0.8742000000000001,0.044848399607660745,0.8710605357945381,0.04829187816447671,0.93326,0.04115574270857879,0.9510043510404713,0.03081369218012577,0.8549,0.054222640445132385,0.10650000000000001,0.041492548474965585
10,dos,MetaOpt,0.8985749999999999,0.032753173811660465,0.907412111675734,0.031043032174223217,0.8985749999999999,0.032753173811660465,0.8963304614193544,0.0349456229677605,0.954595,0.030007831872433062,0.9658192453212422,0.022319316563073108,0.87625,0.03995243882945133,0.0791,0.035791648540730255
11,dos,SGD,0.897725,0.03487438926082845,0.908729990527833,0.030027531521759295,0.897725,0.03487438926082845,0.8949953113811583,0.038162152366912956,0.9514900000000001,0.030763339425874732,0.9640233460193057,0.02276066490874079,0.85745,0.053697471272422366,0.062,0.021048815443605068
12,portscan,Adam,0.8227,0.09046464851851771,0.8464569415545325,0.08091870529845675,0.8227,0.09046464851851771,0.8109541491406743,0.10397556658175877,0.916385,0.07368215005577745,0.9228483252785227,0.06420437922716453,0.86995,0.09031318316077434,0.22454999999999997,0.11068945416415195
13,portscan,MetaOpt,0.8624750000000001,0.08512320405401251,0.881099881986134,0.07273624698559879,0.8624750000000001,0.08512320405401251,0.8540677799957239,0.09718245788118475,0.9463950000000001,0.05511037226855709,0.950694286626686,0.04808419398985583,0.8906000000000001,0.07208138674990566,0.16565000000000002,0.10290479759671582
14,portscan,SGD,0.8634999999999999,0.08649961971318901,0.882315958651127,0.07365499934079926,0.8634999999999999,0.08649961971318901,0.8547338884753988,0.0987119449966709,0.94566,0.05701272618782949,0.9499022777267883,0.0501251489310709,0.893,0.06774565435664881,0.166,0.11356148346299369
15,webattack,Adam,0.88255,0.0682967403090521,0.9076306481787906,0.050339277105073243,0.88255,0.0682967403090521,0.873227048551664,0.07953831930982477,0.975515,0.0258372695925866,0.9741620561209088,0.031552847237178244,0.9845499999999999,0.006176994670379375,0.21945,0.1363731239921137
16,webattack,MetaOpt,0.9348000000000001,0.04788868672024187,0.9445778567740739,0.03875482665195859,0.9348000000000001,0.04788868672024187,0.9307993858111907,0.05454534566390356,0.98862,0.0066201128945692495,0.9900877283262404,0.0065349487002393895,0.97875,0.011800423721205908,0.10915000000000001,0.09882535099861776
17,webattack,SGD,0.9396000000000001,0.04980187060532439,0.9489366144659005,0.0411231896072143,0.9396000000000001,0.04980187060532439,0.93531094862632,0.05747514609207281,0.9889749999999999,0.007091275217513882,0.9904611344093214,0.008010142048887756,0.9836,0.004728413553914484,0.1044,0.10132823163519528
