file,bytes,kind,status,has_error_marker,last_line
logs\logs\run_20260722_183938.log,7943,standalone_or_preflight,partial,False,2026-07-22 18:40:14 | INFO    | src.data.pipeline | DataBundle: F=65 L=16 stride=16 mode=temporal label=last | meta_train=2374 meta_val=791 adapt_val=462 adapt_test=857 windows
logs\logs\run_20260722_184159.log,91908,matrix_launcher,complete,False,2026-07-23 03:29:36 | INFO    | fast_adaptation_matrix | Fast-adaptation matrix complete: outputs\fast_adaptation_matrix_20260722
logs\logs\run_20260722_184213.log,34870,meta_training,complete,False,2026-07-22 18:48:50 | INFO    | train_meta | Meta-training finished. Artifact: outputs\fast_adaptation_matrix_20260722\runs\botnet\fraction_1\seed_42\horizon_20\meta_artifacts.pt
logs\logs\run_20260722_184851.log,20822,evaluation,complete,False,2026-07-22 19:00:16 | INFO    | run_experiments | 实验完成: outputs\fast_adaptation_matrix_20260722\runs\botnet\fraction_1\seed_42\horizon_20\evaluation\results.json
logs\logs\run_20260722_190021.log,20066,meta_training,complete,False,2026-07-22 19:03:16 | INFO    | train_meta | Meta-training finished. Artifact: outputs\fast_adaptation_matrix_20260722\runs\botnet\fraction_1\seed_52\horizon_20\meta_artifacts.pt
logs\logs\run_20260722_190317.log,20836,evaluation,complete,False,2026-07-22 19:14:47 | INFO    | run_experiments | 实验完成: outputs\fast_adaptation_matrix_20260722\runs\botnet\fraction_1\seed_52\horizon_20\evaluation\results.json
logs\logs\run_20260722_191453.log,35499,meta_training,complete,False,2026-07-22 19:21:32 | INFO    | train_meta | Meta-training finished. Artifact: outputs\fast_adaptation_matrix_20260722\runs\botnet\fraction_1\seed_62\horizon_20\meta_artifacts.pt
logs\logs\run_20260722_192133.log,20821,evaluation,complete,False,2026-07-22 19:32:50 | INFO    | run_experiments | 实验完成: outputs\fast_adaptation_matrix_20260722\runs\botnet\fraction_1\seed_62\horizon_20\evaluation\results.json
logs\logs\run_20260722_193259.log,35317,meta_training,complete,False,2026-07-22 19:39:36 | INFO    | train_meta | Meta-training finished. Artifact: outputs\fast_adaptation_matrix_20260722\runs\botnet\fraction_1\seed_72\horizon_20\meta_artifacts.pt
logs\logs\run_20260722_193937.log,20790,evaluation,complete,False,2026-07-22 19:50:51 | INFO    | run_experiments | 实验完成: outputs\fast_adaptation_matrix_20260722\runs\botnet\fraction_1\seed_72\horizon_20\evaluation\results.json
logs\logs\run_20260722_195103.log,22933,meta_training,complete,False,2026-07-22 19:54:37 | INFO    | train_meta | Meta-training finished. Artifact: outputs\fast_adaptation_matrix_20260722\runs\botnet\fraction_1\seed_82\horizon_20\meta_artifacts.pt
logs\logs\run_20260722_195439.log,20701,evaluation,complete,False,2026-07-22 20:05:58 | INFO    | run_experiments | 实验完成: outputs\fast_adaptation_matrix_20260722\runs\botnet\fraction_1\seed_82\horizon_20\evaluation\results.json
logs\logs\run_20260722_200612.log,34793,meta_training,complete,False,2026-07-22 20:12:36 | INFO    | train_meta | Meta-training finished. Artifact: outputs\fast_adaptation_matrix_20260722\runs\bruteforce\fraction_1\seed_42\horizon_20\meta_artifacts.pt
logs\logs\run_20260722_201238.log,20846,evaluation,complete,False,2026-07-22 20:23:57 | INFO    | run_experiments | 实验完成: outputs\fast_adaptation_matrix_20260722\runs\bruteforce\fraction_1\seed_42\horizon_20\evaluation\results.json
logs\logs\run_20260722_202414.log,35744,meta_training,complete,False,2026-07-22 20:30:51 | INFO    | train_meta | Meta-training finished. Artifact: outputs\fast_adaptation_matrix_20260722\runs\bruteforce\fraction_1\seed_52\horizon_20\meta_artifacts.pt
logs\logs\run_20260722_203053.log,20810,evaluation,complete,False,2026-07-22 20:42:14 | INFO    | run_experiments | 实验完成: outputs\fast_adaptation_matrix_20260722\runs\bruteforce\fraction_1\seed_52\horizon_20\evaluation\results.json
logs\logs\run_20260722_204233.log,34762,meta_training,complete,False,2026-07-22 20:49:11 | INFO    | train_meta | Meta-training finished. Artifact: outputs\fast_adaptation_matrix_20260722\runs\bruteforce\fraction_1\seed_62\horizon_20\meta_artifacts.pt
logs\logs\run_20260722_204913.log,20753,evaluation,complete,False,2026-07-22 21:00:40 | INFO    | run_experiments | 实验完成: outputs\fast_adaptation_matrix_20260722\runs\bruteforce\fraction_1\seed_62\horizon_20\evaluation\results.json
logs\logs\run_20260722_210102.log,23500,meta_training,complete,False,2026-07-22 21:04:48 | INFO    | train_meta | Meta-training finished. Artifact: outputs\fast_adaptation_matrix_20260722\runs\bruteforce\fraction_1\seed_72\horizon_20\meta_artifacts.pt
logs\logs\run_20260722_210450.log,20792,evaluation,complete,False,2026-07-22 21:16:20 | INFO    | run_experiments | 实验完成: outputs\fast_adaptation_matrix_20260722\runs\bruteforce\fraction_1\seed_72\horizon_20\evaluation\results.json
logs\logs\run_20260722_211644.log,35587,meta_training,complete,False,2026-07-22 21:23:24 | INFO    | train_meta | Meta-training finished. Artifact: outputs\fast_adaptation_matrix_20260722\runs\bruteforce\fraction_1\seed_82\horizon_20\meta_artifacts.pt
logs\logs\run_20260722_212326.log,20802,evaluation,complete,False,2026-07-22 21:34:04 | INFO    | run_experiments | 实验完成: outputs\fast_adaptation_matrix_20260722\runs\bruteforce\fraction_1\seed_82\horizon_20\evaluation\results.json
logs\logs\run_20260722_213430.log,35247,meta_training,complete,False,2026-07-22 21:41:17 | INFO    | train_meta | Meta-training finished. Artifact: outputs\fast_adaptation_matrix_20260722\runs\ddos\fraction_1\seed_42\horizon_20\meta_artifacts.pt
logs\logs\run_20260722_214119.log,20727,evaluation,complete,False,2026-07-22 21:52:23 | INFO    | run_experiments | 实验完成: outputs\fast_adaptation_matrix_20260722\runs\ddos\fraction_1\seed_42\horizon_20\evaluation\results.json
logs\logs\run_20260722_215253.log,28381,meta_training,complete,False,2026-07-22 21:57:59 | INFO    | train_meta | Meta-training finished. Artifact: outputs\fast_adaptation_matrix_20260722\runs\ddos\fraction_1\seed_52\horizon_20\meta_artifacts.pt
logs\logs\run_20260722_215800.log,20824,evaluation,complete,False,2026-07-22 22:09:33 | INFO    | run_experiments | 实验完成: outputs\fast_adaptation_matrix_20260722\runs\ddos\fraction_1\seed_52\horizon_20\evaluation\results.json
logs\logs\run_20260722_221008.log,25678,meta_training,complete,False,2026-07-22 22:14:31 | INFO    | train_meta | Meta-training finished. Artifact: outputs\fast_adaptation_matrix_20260722\runs\ddos\fraction_1\seed_62\horizon_20\meta_artifacts.pt
logs\logs\run_20260722_221433.log,20803,evaluation,complete,False,2026-07-22 22:26:10 | INFO    | run_experiments | 实验完成: outputs\fast_adaptation_matrix_20260722\runs\ddos\fraction_1\seed_62\horizon_20\evaluation\results.json
logs\logs\run_20260722_222644.log,20723,meta_training,complete,False,2026-07-22 22:29:51 | INFO    | train_meta | Meta-training finished. Artifact: outputs\fast_adaptation_matrix_20260722\runs\ddos\fraction_1\seed_72\horizon_20\meta_artifacts.pt
logs\logs\run_20260722_222953.log,20775,evaluation,complete,False,2026-07-22 22:40:32 | INFO    | run_experiments | 实验完成: outputs\fast_adaptation_matrix_20260722\runs\ddos\fraction_1\seed_72\horizon_20\evaluation\results.json
logs\logs\run_20260722_224108.log,31553,meta_training,complete,False,2026-07-22 22:46:41 | INFO    | train_meta | Meta-training finished. Artifact: outputs\fast_adaptation_matrix_20260722\runs\ddos\fraction_1\seed_82\horizon_20\meta_artifacts.pt
logs\logs\run_20260722_224643.log,20758,evaluation,complete,False,2026-07-22 22:57:29 | INFO    | run_experiments | 实验完成: outputs\fast_adaptation_matrix_20260722\runs\ddos\fraction_1\seed_82\horizon_20\evaluation\results.json
logs\logs\run_20260722_225808.log,22568,meta_training,complete,False,2026-07-22 23:01:42 | INFO    | train_meta | Meta-training finished. Artifact: outputs\fast_adaptation_matrix_20260722\runs\dos\fraction_1\seed_42\horizon_20\meta_artifacts.pt
logs\logs\run_20260722_230143.log,20868,evaluation,complete,False,2026-07-22 23:13:10 | INFO    | run_experiments | 实验完成: outputs\fast_adaptation_matrix_20260722\runs\dos\fraction_1\seed_42\horizon_20\evaluation\results.json
logs\logs\run_20260722_231351.log,24836,meta_training,complete,False,2026-07-22 23:17:54 | INFO    | train_meta | Meta-training finished. Artifact: outputs\fast_adaptation_matrix_20260722\runs\dos\fraction_1\seed_52\horizon_20\meta_artifacts.pt
logs\logs\run_20260722_231756.log,20827,evaluation,complete,False,2026-07-22 23:28:59 | INFO    | run_experiments | 实验完成: outputs\fast_adaptation_matrix_20260722\runs\dos\fraction_1\seed_52\horizon_20\evaluation\results.json
logs\logs\run_20260722_232944.log,34768,meta_training,complete,False,2026-07-22 23:36:09 | INFO    | train_meta | Meta-training finished. Artifact: outputs\fast_adaptation_matrix_20260722\runs\dos\fraction_1\seed_62\horizon_20\meta_artifacts.pt
logs\logs\run_20260722_233610.log,20835,evaluation,complete,False,2026-07-22 23:47:27 | INFO    | run_experiments | 实验完成: outputs\fast_adaptation_matrix_20260722\runs\dos\fraction_1\seed_62\horizon_20\evaluation\results.json
