grain,step,metric,shot,baseline,mean_delta,relative_delta_mean,median_delta,min_delta,max_delta
seed_attack_shot,1,macro_f1,1,SGD,-0.17012827769446984,-0.3145745413889898,-0.12136914697559617,-0.45577789999187146,-0.002854840851828966
seed_attack_shot,1,macro_f1,3,SGD,-0.17127212854074234,-0.3081564149337414,-0.11533378929266049,-0.49729870875509125,-0.010718048967232219
seed_attack_shot,1,macro_f1,5,SGD,-0.17374187747948192,-0.3104073187240657,-0.1159045140970523,-0.5255829872124915,-0.014632394565638474
seed_attack_shot,1,macro_f1,10,SGD,-0.17394723672359083,-0.30415213034198263,-0.11141550216281787,-0.5483242032111688,0.0017937610006192872
seed_attack_shot,1,macro_f1,1,Adam,-0.012440414579666695,-0.03722807913597652,-0.008814486917935183,-0.05367361934051329,0.008169016004411112
seed_attack_shot,1,macro_f1,3,Adam,-0.01371258311237366,-0.036497798460395504,-0.009840006991731126,-0.0769387274955462,0.01207420049290081
seed_attack_shot,1,macro_f1,5,Adam,-0.015623825526082503,-0.04300387644529809,-0.009758605366328596,-0.07846693158644469,0.014096436379835903
seed_attack_shot,1,macro_f1,10,Adam,-0.016352017782953074,-0.04188069945304008,-0.011139607945153139,-0.09061936342880939,0.016949401782764384
seed_attack_shot,1,pr_auc,1,SGD,-0.18959300248513095,-0.25574745452260333,-0.1296737058607028,-0.530745069180905,-0.020965044617405226
seed_attack_shot,1,pr_auc,3,SGD,-0.19899004499270362,-0.26095263643738686,-0.1542296247118034,-0.5546441863605949,-0.015894736687460997
seed_attack_shot,1,pr_auc,5,SGD,-0.20400462455816176,-0.2620855583566269,-0.1605543803032193,-0.561934754564321,-0.02257197611470063
seed_attack_shot,1,pr_auc,10,SGD,-0.20741885857477577,-0.2641219635573762,-0.15013282494938845,-0.5616321739062451,-0.019671844495373847
seed_attack_shot,1,pr_auc,1,Adam,-0.016521477080567653,-0.02941969338111605,-0.009840859957036485,-0.10205510878010882,-0.0005457741089319734
seed_attack_shot,1,pr_auc,3,Adam,-0.01982818461781309,-0.03520341632878799,-0.014657585268188944,-0.11549982517482515,-0.0008902538637831081
seed_attack_shot,1,pr_auc,5,Adam,-0.021728224674362473,-0.0377067424232839,-0.014462853585183316,-0.14163288378288363,-0.0014211909650376775
seed_attack_shot,1,pr_auc,10,Adam,-0.02307556084868004,-0.040050757638245844,-0.01565795717870022,-0.1371900919342096,-0.0010680675232920267
seed_attack_shot,1,attack_recall,1,SGD,-0.1479,-0.2478605229079101,-0.012000000000000066,-0.6670000000000003,0.07600000000000029
seed_attack_shot,1,attack_recall,3,SGD,-0.1602333333333333,-0.2608981268389636,-0.031999999999999806,-0.7390000000000003,0.05900000000000005
seed_attack_shot,1,attack_recall,5,SGD,-0.17406666666666668,-0.26491920106309336,-0.04499999999999993,-0.7810000000000004,0.048000000000000154
seed_attack_shot,1,attack_recall,10,SGD,-0.17506666666666662,-0.2648926241278094,-0.03600000000000014,-0.775,0.05200000000000038
seed_attack_shot,1,attack_recall,1,Adam,-0.005733333333333339,-0.04767941772581182,-0.0020000000000000018,-0.08200000000000007,0.062000000000000055
seed_attack_shot,1,attack_recall,3,Adam,-0.0073999999999999995,-0.05056205673836357,-0.0019999999999998908,-0.06800000000000003,0.07999999999999985
seed_attack_shot,1,attack_recall,5,Adam,-0.009400000000000007,-0.04940324166400257,-0.004000000000000059,-0.07599999999999998,0.06599999999999995
seed_attack_shot,1,attack_recall,10,Adam,-0.008333333333333338,-0.044228444006432915,-0.0040000000000000036,-0.07199999999999998,0.0830000000000003
seed_attack_shot,20,macro_f1,1,SGD,0.00604615412830215,0.008811065544353439,0.008904562308326147,-0.044508245087654386,0.06439210761518843
seed_attack_shot,20,macro_f1,3,SGD,0.00032736246278399774,0.0009266330356870609,-0.0005238168040362923,-0.028172326216157617,0.04088279863486155
seed_attack_shot,20,macro_f1,5,SGD,-0.0024678153706795343,-0.0023885566609528164,-0.004506848053346779,-0.03985503803490742,0.03488943892701124
seed_attack_shot,20,macro_f1,10,SGD,-0.004634386808411713,-0.004857896121968687,-0.002457592845750811,-0.05412510083282063,0.02175329284640759
seed_attack_shot,20,macro_f1,1,Adam,0.036614444184534294,0.05245797380859847,0.048258448939937304,-0.05343740308684597,0.12977669398273595
seed_attack_shot,20,macro_f1,3,Adam,0.043199658667365685,0.053876356111657545,0.03665914430837702,-0.024104238545364476,0.16061814471002533
seed_attack_shot,20,macro_f1,5,Adam,0.03522848944431594,0.04199732806238444,0.02728813138447661,-0.023508122324921277,0.16827270708772435
seed_attack_shot,20,macro_f1,10,Adam,0.030929369403173305,0.035767366736876784,0.02445099460073885,-0.011088326877800592,0.14298380165909752
