unknown,seed,method,accuracy,precision,recall,macro_f1,roc_auc,pr_auc,attack_recall,false_positive_rate
botnet,42,Adam,0.760625,0.8048314115741071,0.760625,0.739524074960562,0.8722,0.8700551975329451,0.91825,0.397
botnet,42,MetaOpt,0.840625,0.8613683140260153,0.840625,0.8282120265176165,0.936375,0.942591379511871,0.9245,0.24325
botnet,42,SGD,0.8175,0.8411066831936125,0.8175,0.8025263476269355,0.922675,0.9319275105291165,0.91675,0.28175
botnet,52,Adam,0.853125,0.8774881103588534,0.853125,0.8413197283628897,0.9577,0.9640401246994319,0.95025,0.244
botnet,52,MetaOpt,0.892375,0.9055094473648557,0.892375,0.8839794360259756,0.964325,0.9722911648669098,0.93975,0.155
botnet,52,SGD,0.889375,0.9063104109405387,0.889375,0.8803045632218517,0.9692000000000001,0.9751131869807179,0.94675,0.16799999999999998
botnet,62,Adam,0.812,0.8523244907826951,0.812,0.796840367464917,0.92295,0.9211145913329446,0.93325,0.30925
botnet,62,MetaOpt,0.84375,0.8670243438460834,0.84375,0.8336300849533071,0.93125,0.9391937677937388,0.9239999999999999,0.23650000000000002
botnet,62,SGD,0.8376250000000001,0.8661320825502328,0.8376250000000001,0.8263936312065927,0.9314,0.9381093568035421,0.9247500000000001,0.2495
botnet,72,Adam,0.811,0.8496849472444481,0.811,0.7951942354078008,0.917825,0.9166639000189697,0.944,0.322
botnet,72,MetaOpt,0.86675,0.8888466059546749,0.86675,0.8583349106507684,0.9371,0.9387838701728698,0.937,0.20350000000000001
botnet,72,SGD,0.8316250000000001,0.8613395707964207,0.8316250000000001,0.8195100839532645,0.9336,0.9398449398672792,0.9359999999999999,0.27275
botnet,82,Adam,0.808625,0.8415232566120241,0.808625,0.7952464099934665,0.9487749999999999,0.9574295106521016,0.94625,0.329
botnet,82,MetaOpt,0.8362499999999999,0.8623120798673721,0.8362499999999999,0.8230982775579054,0.9463999999999999,0.9566528705416959,0.9365,0.264
botnet,82,SGD,0.834,0.8615737517126836,0.834,0.8209943841372047,0.95145,0.9632767051436266,0.9392499999999999,0.27125
bruteforce,42,Adam,0.852625,0.8779437207744096,0.852625,0.8433600745092942,0.9497249999999999,0.9459801923308888,0.9430000000000001,0.23775000000000002
bruteforce,42,MetaOpt,0.8416250000000001,0.8664393521854823,0.8416250000000001,0.83305295211058,0.9379,0.9421529169478182,0.9035,0.22025
bruteforce,42,SGD,0.849375,0.8711805780487573,0.849375,0.8396394013340173,0.946175,0.9473491587628488,0.91225,0.21350000000000002
bruteforce,52,Adam,0.821875,0.8466717451472676,0.821875,0.8115274792834117,0.929925,0.9370281623347412,0.9179999999999999,0.27425
bruteforce,52,MetaOpt,0.84425,0.8705081205612843,0.84425,0.8322016570337822,0.9474,0.9425259127557599,0.953,0.2645
bruteforce,52,SGD,0.859875,0.8764076214302124,0.859875,0.8510202490764452,0.952025,0.9547903516482656,0.9415,0.22175
bruteforce,62,Adam,0.85725,0.8717398161317956,0.85725,0.8441002395991685,0.939775,0.9361162088159088,0.94725,0.23275
bruteforce,62,MetaOpt,0.896,0.9088864377151916,0.896,0.8883750172196705,0.96455,0.9599048577035709,0.9605,0.1685
bruteforce,62,SGD,0.882375,0.8944374200629522,0.882375,0.8721639063688736,0.9609,0.9594720526259516,0.966,0.20125
bruteforce,72,Adam,0.7442500000000001,0.77564875863086,0.7442500000000001,0.7202999542997007,0.8621000000000001,0.8659096626133584,0.9025,0.414
bruteforce,72,MetaOpt,0.8106249999999999,0.826106982843438,0.8106249999999999,0.7985833359913591,0.8797,0.8847476656642291,0.8270000000000001,0.20575
bruteforce,72,SGD,0.8127500000000001,0.8317883413993128,0.8127500000000001,0.7980086479291004,0.90115,0.9067909718141336,0.9135,0.28800000000000003
bruteforce,82,Adam,0.810875,0.8515745679007096,0.810875,0.7959434002157826,0.9295249999999999,0.9204055190058479,0.945,0.32325
bruteforce,82,MetaOpt,0.8375,0.8653743115490891,0.8375,0.8252854917706677,0.925575,0.9204240286738545,0.9309999999999999,0.256
bruteforce,82,SGD,0.825125,0.855335697487497,0.825125,0.8123277547877388,0.9333750000000001,0.9310118461797061,0.93075,0.2805
ddos,42,Adam,0.90525,0.9190995876436086,0.90525,0.9027454573684364,0.963075,0.9705652501394374,0.8775,0.067
ddos,42,MetaOpt,0.905375,0.9183232878232879,0.905375,0.9034553405060077,0.96375,0.970712549299256,0.8655,0.05475000000000001
ddos,42,SGD,0.911875,0.9235105634389691,0.911875,0.909725798118549,0.971575,0.9768579145345109,0.8845,0.060750000000000005
ddos,52,Adam,0.864625,0.8861420042751796,0.864625,0.8603447969061341,0.9235,0.9460412179388379,0.793,0.06375
ddos,52,MetaOpt,0.884375,0.9052786205828486,0.884375,0.8811951403651674,0.951075,0.9641646034005554,0.797,0.02825
ddos,52,SGD,0.91025,0.9253970212793743,0.91025,0.90786125623067,0.9581,0.969847536315164,0.86175,0.04125
ddos,62,Adam,0.828,0.8541716115519329,0.828,0.8218105497403793,0.862275,0.9068107094573812,0.7507499999999999,0.09475
ddos,62,MetaOpt,0.86425,0.8851055338656442,0.86425,0.8602866734104763,0.919925,0.9423222061241991,0.795,0.0665
ddos,62,SGD,0.865375,0.8855599960056714,0.865375,0.8610869781972335,0.911775,0.9373120956485894,0.8077500000000001,0.07700000000000001
ddos,72,Adam,0.84475,0.8633925938236601,0.84475,0.8404778731088102,0.894925,0.926484217394018,0.783,0.0935
ddos,72,MetaOpt,0.85475,0.875337620814643,0.85475,0.8501058661282581,0.903025,0.9318320114934086,0.77675,0.06725
ddos,72,SGD,0.856875,0.8753864930004636,0.856875,0.8528449758404488,0.912975,0.93934036340981,0.80975,0.096
ddos,82,Adam,0.88425,0.9044059529222068,0.88425,0.8804870342968987,0.9664,0.9703309720100161,0.8554999999999999,0.08700000000000001
ddos,82,MetaOpt,0.860875,0.8889159102099311,0.860875,0.8544357093245687,0.94535,0.9545969360769089,0.7795,0.05775
ddos,82,SGD,0.89025,0.9098434071786917,0.89025,0.8860764771641804,0.965075,0.9701263482615166,0.86675,0.08625000000000001
dos,42,Adam,0.86075,0.8709802667716271,0.86075,0.8570283951383446,0.92805,0.945179636040559,0.84775,0.12625
dos,42,MetaOpt,0.879375,0.8890666688939716,0.879375,0.8762500462390366,0.9425,0.9561363552447724,0.88125,0.1225
dos,42,SGD,0.885625,0.8974731394766226,0.885625,0.8822453916973347,0.94425,0.9580267803414765,0.8485,0.07725000000000001
dos,52,Adam,0.861875,0.8750466124325451,0.861875,0.8586820158210577,0.9260250000000001,0.9449306562127673,0.8167500000000001,0.093
dos,52,MetaOpt,0.891,0.9008881327006328,0.891,0.8893618852238906,0.946275,0.9598629382592812,0.851,0.069
dos,52,SGD,0.886875,0.9010295622473932,0.886875,0.884317282321085,0.945525,0.9595755181114894,0.82625,0.0525
dos,62,Adam,0.868625,0.8787140602453103,0.868625,0.8669509021898594,0.91245,0.9397148573884835,0.8494999999999999,0.11225
dos,62,MetaOpt,0.9001250000000001,0.9093204434454435,0.9001250000000001,0.898951408069989,0.9550000000000001,0.9672849664954928,0.87,0.06975
dos,62,SGD,0.8961250000000001,0.9056957937895439,0.8961250000000001,0.8947157977935565,0.9443,0.9611278987234386,0.865,0.07275000000000001
dos,72,Adam,0.886375,0.8960150920738189,0.886375,0.8812852574808743,0.9512499999999999,0.9620504904409316,0.875,0.10225000000000001
