unknown,seed,shot,method,accuracy,precision,recall,macro_f1,roc_auc,pr_auc,attack_recall,false_positive_rate
botnet,42,1,Adam,0.63,0.6703892335519658,0.63,0.5811553650870536,0.7238,0.7524046987498225,0.794,0.534
botnet,42,1,MetaOpt,0.6884999999999999,0.7169773847368661,0.6884999999999999,0.6472874183008639,0.8256,0.8498079644598607,0.825,0.44799999999999995
botnet,42,1,SGD,0.6659999999999999,0.6898274799031379,0.6659999999999999,0.6201898140386489,0.7986,0.8273089516563588,0.7979999999999999,0.466
botnet,42,3,Adam,0.753,0.8073180252624913,0.753,0.7350255930932292,0.8865999999999999,0.8794780208955132,0.9209999999999999,0.415
botnet,42,3,MetaOpt,0.8540000000000001,0.8783455355918592,0.8540000000000001,0.848983139056369,0.9576,0.9595588704080577,0.9359999999999999,0.228
botnet,42,3,SGD,0.8175,0.8520720994691584,0.8175,0.8081003404215075,0.9403,0.9488128756949963,0.9279999999999999,0.293
botnet,42,5,Adam,0.8109999999999999,0.8589148769402253,0.8109999999999999,0.7989622699303739,0.9234,0.904554066633401,0.975,0.353
botnet,42,5,MetaOpt,0.8925,0.9120807664557665,0.8925,0.8899788387417611,0.9727,0.9705382103190927,0.9640000000000001,0.17900000000000002
botnet,42,5,SGD,0.879,0.9001767954267954,0.879,0.875841576262612,0.9677,0.9670909250665055,0.9640000000000001,0.20600000000000002
botnet,42,10,Adam,0.8484999999999999,0.8827035105417458,0.8484999999999999,0.8429530717315917,0.955,0.9437840038530441,0.983,0.28600000000000003
botnet,42,10,MetaOpt,0.9275,0.9380695693195693,0.9275,0.9265987099714721,0.9895999999999999,0.9904604728604728,0.973,0.11800000000000001
botnet,42,10,SGD,0.9075,0.922350357975358,0.9075,0.9059736597849735,0.9841,0.9844972896986054,0.977,0.162
botnet,52,1,Adam,0.74,0.7819643702745483,0.74,0.7038791547780621,0.893,0.9078141569687622,0.894,0.414
botnet,52,1,MetaOpt,0.789,0.8150109625281838,0.789,0.7587946787501229,0.91,0.9255174384224307,0.8759999999999999,0.298
botnet,52,1,SGD,0.7635,0.8027782533943525,0.7635,0.7312911014075968,0.9211,0.9342979196242354,0.8959999999999999,0.369
botnet,52,3,Adam,0.8525,0.8816297211775154,0.8525,0.8445762942365412,0.9722,0.9779714471587923,0.9670000000000001,0.262
botnet,52,3,MetaOpt,0.9115000000000001,0.9244215849509968,0.9115000000000001,0.9093410745906203,0.9791,0.9866265152116546,0.956,0.133
botnet,52,3,SGD,0.9115000000000001,0.92625226815668,0.9115000000000001,0.9086478948246481,0.9847,0.9880789778848602,0.968,0.145
botnet,52,5,Adam,0.9055,0.9186088078588079,0.9055,0.9038894946586595,0.9817,0.9825411794174178,0.971,0.16
botnet,52,5,MetaOpt,0.9305,0.9378901653901655,0.9305,0.9297343584587291,0.9836,0.9873351718027414,0.9670000000000001,0.106
botnet,52,5,SGD,0.94,0.9467604617604618,0.94,0.9393471301675098,0.9842,0.9871254946635751,0.963,0.083
botnet,52,10,Adam,0.9145,0.9277495421245422,0.9145,0.912933969778296,0.9839,0.9878337152527554,0.9690000000000001,0.14
botnet,52,10,MetaOpt,0.9384999999999999,0.9447150765900766,0.9384999999999999,0.93804763230443,0.9845999999999999,0.9896855340308126,0.96,0.083
botnet,52,10,SGD,0.9425,0.9494506604506605,0.9425,0.9419321264876521,0.9868000000000001,0.990950355750201,0.96,0.075
botnet,62,1,Adam,0.7345,0.8003270937868462,0.7345,0.7013842444595063,0.8728,0.8621993837646701,0.9159999999999999,0.447
botnet,62,1,MetaOpt,0.733,0.7750919233200579,0.733,0.7020659007092607,0.884,0.8975508285574075,0.9059999999999999,0.44
botnet,62,1,SGD,0.7345,0.7896984581251222,0.7345,0.7029278291105483,0.8798999999999999,0.8859948513560743,0.917,0.44799999999999995
botnet,62,3,Adam,0.8005,0.8470414340990966,0.8005,0.7846358631503546,0.9246000000000001,0.9165457824339402,0.9390000000000001,0.33799999999999997
botnet,62,3,MetaOpt,0.853,0.8796825111163347,0.853,0.8462783362717708,0.9343,0.9384113438419166,0.9309999999999999,0.225
botnet,62,3,SGD,0.8445,0.8729215516380765,0.8445,0.8366975253898553,0.9322,0.9314600203674894,0.934,0.245
botnet,62,5,Adam,0.8434999999999999,0.8752522564724577,0.8434999999999999,0.8358781452794805,0.9490000000000001,0.9544486149858054,0.946,0.259
botnet,62,5,MetaOpt,0.889,0.9024175546675548,0.889,0.8873114869456235,0.9542,0.9600760300114402,0.925,0.14700000000000002
botnet,62,5,SGD,0.8775,0.8953442178736297,0.8775,0.8740446704738803,0.9582999999999999,0.9674104786424444,0.929,0.174
botnet,62,10,Adam,0.8695,0.8866771787723801,0.8695,0.8654632169703268,0.9454,0.9512645841473628,0.932,0.193
botnet,62,10,MetaOpt,0.9,0.9109053862803863,0.9,0.8988646158865738,0.9525,0.9607368687641907,0.934,0.134
botnet,62,10,SGD,0.894,0.9065641025641026,0.894,0.891904499852087,0.9551999999999999,0.9675720768481604,0.919,0.131
botnet,72,1,Adam,0.721,0.7897567646062228,0.721,0.6853051981910242,0.8385000000000001,0.8268875226854329,0.9329999999999999,0.491
botnet,72,1,MetaOpt,0.7545000000000001,0.8093170365066651,0.7545000000000001,0.7277901473022049,0.8915000000000001,0.8941449248721695,0.93,0.42100000000000004
botnet,72,1,SGD,0.6995,0.7633352705086451,0.6995,0.6633980396870165,0.8851,0.8839932127470053,0.9009999999999999,0.502
botnet,72,3,Adam,0.7865000000000001,0.8281951178336628,0.7865000000000001,0.768855965513878,0.9226000000000001,0.9216690237523055,0.938,0.365
botnet,72,3,MetaOpt,0.865,0.8826077525415761,0.865,0.8602113205505453,0.9396,0.9418801279259097,0.934,0.20400000000000001
botnet,72,3,SGD,0.83,0.8594017589307837,0.83,0.8210527260219708,0.9361,0.9419326359141373,0.9420000000000001,0.282
botnet,72,5,Adam,0.8445,0.8734806655762539,0.8445,0.836776868650287,0.945,0.9466952147182023,0.9510000000000001,0.262
botnet,72,5,MetaOpt,0.9145,0.9239536917331036,0.9145,0.9131641357814598,0.9501999999999999,0.9479268879984823,0.938,0.109
botnet,72,5,SGD,0.8855,0.9004651043401044,0.8855,0.8831688239816151,0.9504,0.957839239106267,0.948,0.177
botnet,72,10,Adam,0.892,0.9073072409616527,0.892,0.889838909276014,0.9652,0.971403838919938,0.9540000000000001,0.17
botnet,72,10,MetaOpt,0.9329999999999999,0.9395079430373547,0.9329999999999999,0.9321740389688634,0.9671,0.9711835398949176,0.946,0.08
botnet,72,10,SGD,0.9115000000000001,0.9221561494061494,0.9115000000000001,0.9104207461224557,0.9628,0.9756146717017073,0.953,0.13
botnet,82,1,Adam,0.7075,0.7625358396118845,0.7075,0.6720059195740731,0.9308,0.9380800169945293,0.92,0.505
botnet,82,1,MetaOpt,0.6809999999999999,0.7344330066218612,0.6809999999999999,0.6385398732732881,0.9116,0.9219580522719454,0.91,0.5479999999999999
botnet,82,1,SGD,0.6970000000000001,0.7539019240348575,0.6970000000000001,0.6548144927611455,0.9266,0.9401768388431314,0.903,0.509
botnet,82,3,Adam,0.816,0.8508495472535721,0.816,0.8051006979774269,0.9501999999999999,0.9564865283667142,0.961,0.32899999999999996
botnet,82,3,MetaOpt,0.8515,0.8798627662112569,0.8515,0.8442354852333332,0.9495,0.9564553296763435,0.9440000000000001,0.24100000000000002
botnet,82,3,SGD,0.857,0.8826869168413286,0.857,0.8517310400976608,0.9551000000000001,0.9639021302914492,0.958,0.244
botnet,82,5,Adam,0.8595,0.8808749722499724,0.8595,0.8559284038190015,0.9599,0.9657340007601617,0.955,0.23600000000000002
botnet,82,5,MetaOpt,0.9005,0.9131872498416617,0.9005,0.8988652982338202,0.966,0.9736530687836416,0.9540000000000001,0.153
botnet,82,5,SGD,0.8859999999999999,0.9014453993718701,0.8859999999999999,0.8834478790846909,0.9651000000000001,0.9722339930365471,0.948,0.17600000000000002
botnet,82,10,Adam,0.8515,0.8718326673326673,0.8515,0.8479506186033646,0.9542,0.9694174964870012,0.9490000000000001,0.24600000000000002
botnet,82,10,MetaOpt,0.912,0.9217652967947086,0.912,0.9107524534911801,0.9584999999999999,0.9745450314348534,0.938,0.114
botnet,82,10,SGD,0.8959999999999999,0.9082607666026784,0.8959999999999999,0.893984124605322,0.9590000000000001,0.9767938584033786,0.948,0.156
bruteforce,42,1,Adam,0.743,0.7844225487489807,0.743,0.7148813892692225,0.8946999999999999,0.892641707943759,0.866,0.38
bruteforce,42,1,MetaOpt,0.7295,0.772886918529527,0.7295,0.7047754066773408,0.8814,0.8968486214035362,0.836,0.377
bruteforce,42,1,SGD,0.7204999999999999,0.7586282049134216,0.7204999999999999,0.6889494560240061,0.8859,0.8935112544103643,0.8420000000000001,0.401
bruteforce,42,3,Adam,0.861,0.8864012298975534,0.861,0.8559893885460247,0.9503,0.9487184072764181,0.945,0.223
bruteforce,42,3,MetaOpt,0.8465,0.8728305995475114,0.8465,0.8408380033547115,0.9373,0.940530936117546,0.894,0.201
bruteforce,42,3,SGD,0.8615,0.8846897893772895,0.8615,0.8570235359811513,0.9515,0.9542453859951537,0.907,0.184
bruteforce,42,5,Adam,0.8965000000000001,0.9145403485403486,0.8965000000000001,0.8942150044956614,0.9723,0.9653382737059981,0.972,0.17900000000000002
bruteforce,42,5,MetaOpt,0.8885,0.9048662171162172,0.8885,0.8862013551258571,0.9621999999999999,0.9634069947510349,0.9329999999999999,0.156
bruteforce,42,5,SGD,0.902,0.9161560106560107,0.902,0.9003029210548056,0.9706,0.9680026458835281,0.9440000000000001,0.14
bruteforce,42,10,Adam,0.91,0.926410755910756,0.91,0.9083545157262684,0.9815999999999999,0.9772223803973803,0.9890000000000001,0.169
bruteforce,42,10,MetaOpt,0.902,0.9151736735486736,0.902,0.9003970432844103,0.9706999999999999,0.9678251155191557,0.951,0.14700000000000002
bruteforce,42,10,SGD,0.9135,0.9252483072483073,0.9135,0.9122816922761061,0.9767,0.9736373487623488,0.956,0.129
bruteforce,52,1,Adam,0.7404999999999999,0.7774876574019376,0.7404999999999999,0.7154077096496274,0.8726999999999999,0.8791882322184179,0.863,0.382
bruteforce,52,1,MetaOpt,0.7225,0.767667770976014,0.7225,0.6834034290426516,0.8806,0.8709291000751914,0.8909999999999999,0.446
bruteforce,52,1,SGD,0.755,0.77736618792714,0.755,0.7261574312695899,0.8892,0.8919896020302366,0.888,0.37799999999999995
bruteforce,52,3,Adam,0.8190000000000001,0.8409204978458075,0.8190000000000001,0.8098405425504877,0.9269,0.9364784293707668,0.9009999999999999,0.263
bruteforce,52,3,MetaOpt,0.861,0.8852593101343103,0.861,0.8564026899918405,0.9515,0.9468672464274631,0.96,0.23800000000000002
bruteforce,52,3,SGD,0.8765000000000001,0.8947472037766155,0.8765000000000001,0.873120708017124,0.9627,0.9655724380194968,0.946,0.193
bruteforce,52,5,Adam,0.848,0.871829705017205,0.848,0.8431992065468071,0.9518000000000001,0.9597887651435252,0.945,0.24900000000000003
bruteforce,52,5,MetaOpt,0.8875,0.9065288110582229,0.8875,0.8848347344279637,0.9742000000000001,0.973285412523493,0.973,0.198
bruteforce,52,5,SGD,0.8959999999999999,0.9110202991452993,0.8959999999999999,0.8940062804894512,0.9741,0.9766053412875394,0.961,0.169
bruteforce,52,10,Adam,0.88,0.8964491203241204,0.88,0.8776624583867247,0.9682999999999999,0.9726572226062551,0.963,0.203
