unknown,seed,experiment,shot,sgd_lr,adam_lr
botnet,42,exp1_1shot,1,0.5,0.01
botnet,42,exp2_3shot,3,0.5,0.01
botnet,42,exp3_5shot,5,0.5,0.01
botnet,42,exp4_10shot,10,0.5,0.01
botnet,52,exp1_1shot,1,0.5,0.01
botnet,52,exp2_3shot,3,0.5,0.01
botnet,52,exp3_5shot,5,0.5,0.01
botnet,52,exp4_10shot,10,0.5,0.01
botnet,62,exp1_1shot,1,0.5,0.01
botnet,62,exp2_3shot,3,0.5,0.01
botnet,62,exp3_5shot,5,0.5,0.01
botnet,62,exp4_10shot,10,0.5,0.01
botnet,72,exp1_1shot,1,0.5,0.01
botnet,72,exp2_3shot,3,0.5,0.01
botnet,72,exp3_5shot,5,0.5,0.01
botnet,72,exp4_10shot,10,0.5,0.01
botnet,82,exp1_1shot,1,0.5,0.01
botnet,82,exp2_3shot,3,0.5,0.01
botnet,82,exp3_5shot,5,0.5,0.01
botnet,82,exp4_10shot,10,0.5,0.01
bruteforce,42,exp1_1shot,1,0.5,0.01
bruteforce,42,exp2_3shot,3,0.5,0.01
bruteforce,42,exp3_5shot,5,0.5,0.01
bruteforce,42,exp4_10shot,10,0.5,0.01
bruteforce,52,exp1_1shot,1,0.5,0.01
bruteforce,52,exp2_3shot,3,0.5,0.01
bruteforce,52,exp3_5shot,5,0.5,0.01
bruteforce,52,exp4_10shot,10,0.5,0.01
bruteforce,62,exp1_1shot,1,0.5,0.01
bruteforce,62,exp2_3shot,3,0.5,0.01
bruteforce,62,exp3_5shot,5,0.5,0.01
bruteforce,62,exp4_10shot,10,0.5,0.01
bruteforce,72,exp1_1shot,1,0.5,0.01
bruteforce,72,exp2_3shot,3,0.5,0.01
bruteforce,72,exp3_5shot,5,0.5,0.01
bruteforce,72,exp4_10shot,10,0.5,0.01
bruteforce,82,exp1_1shot,1,0.5,0.01
bruteforce,82,exp2_3shot,3,0.5,0.01
bruteforce,82,exp3_5shot,5,0.5,0.01
bruteforce,82,exp4_10shot,10,0.5,0.01
ddos,42,exp1_1shot,1,0.5,0.01
ddos,42,exp2_3shot,3,0.5,0.01
ddos,42,exp3_5shot,5,0.5,0.01
ddos,42,exp4_10shot,10,0.5,0.01
ddos,52,exp1_1shot,1,0.5,0.01
ddos,52,exp2_3shot,3,0.5,0.01
ddos,52,exp3_5shot,5,0.5,0.01
ddos,52,exp4_10shot,10,0.5,0.01
ddos,62,exp1_1shot,1,0.5,0.01
ddos,62,exp2_3shot,3,0.5,0.01
ddos,62,exp3_5shot,5,0.5,0.01
ddos,62,exp4_10shot,10,0.5,0.01
ddos,72,exp1_1shot,1,0.5,0.01
ddos,72,exp2_3shot,3,0.5,0.01
ddos,72,exp3_5shot,5,0.5,0.01
ddos,72,exp4_10shot,10,0.5,0.01
ddos,82,exp1_1shot,1,0.5,0.01
ddos,82,exp2_3shot,3,0.5,0.01
ddos,82,exp3_5shot,5,0.5,0.01
ddos,82,exp4_10shot,10,0.5,0.01
dos,42,exp1_1shot,1,0.5,0.01
dos,42,exp2_3shot,3,0.5,0.01
dos,42,exp3_5shot,5,0.5,0.01
dos,42,exp4_10shot,10,0.5,0.01
dos,52,exp1_1shot,1,0.5,0.01
dos,52,exp2_3shot,3,0.5,0.01
dos,52,exp3_5shot,5,0.5,0.01
dos,52,exp4_10shot,10,0.5,0.01
dos,62,exp1_1shot,1,0.5,0.01
dos,62,exp2_3shot,3,0.5,0.01
dos,62,exp3_5shot,5,0.5,0.01
dos,62,exp4_10shot,10,0.5,0.01
dos,72,exp1_1shot,1,0.5,0.01
dos,72,exp2_3shot,3,0.5,0.01
dos,72,exp3_5shot,5,0.5,0.01
dos,72,exp4_10shot,10,0.5,0.01
dos,82,exp1_1shot,1,0.5,0.01
dos,82,exp2_3shot,3,0.5,0.01
dos,82,exp3_5shot,5,0.5,0.01
dos,82,exp4_10shot,10,0.5,0.01
portscan,42,exp1_1shot,1,0.5,0.01
portscan,42,exp2_3shot,3,0.5,0.01
portscan,42,exp3_5shot,5,0.5,0.01
portscan,42,exp4_10shot,10,0.5,0.01
portscan,52,exp1_1shot,1,0.5,0.01
portscan,52,exp2_3shot,3,0.5,0.01
portscan,52,exp3_5shot,5,0.5,0.01
portscan,52,exp4_10shot,10,0.5,0.01
portscan,62,exp1_1shot,1,0.5,0.01
portscan,62,exp2_3shot,3,0.5,0.01
portscan,62,exp3_5shot,5,0.5,0.01
portscan,62,exp4_10shot,10,0.5,0.01
portscan,72,exp1_1shot,1,0.1,0.01
portscan,72,exp2_3shot,3,0.5,0.01
portscan,72,exp3_5shot,5,0.5,0.01
portscan,72,exp4_10shot,10,0.5,0.01
portscan,82,exp1_1shot,1,0.5,0.01
